what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.0.v20090312,"org.eclipse.update.configurator",1264810749562
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1264810749765
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1264810749765
os,sysinfo,,,"win32",1264810749781
arch,sysinfo,,,"x86",1264810749781
ws,sysinfo,,,"win32",1264810749781
locale,sysinfo,,,"it_IT",1264810749781
processors,sysinfo,,,"2",1264810749781
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1264810749781
java.runtime.version,sysinfo,,,"1.6.0_16-b01",1264810749781
java.specification.name,sysinfo,,,"Java Platform API Specification",1264810749781
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264810749781
java.specification.version,sysinfo,,,"1.6",1264810749781
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1264810749781
java.version,sysinfo,,,"1.6.0_16",1264810749781
java.vm.info,sysinfo,,,"mixed mode",1264810749781
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1264810749781
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1264810749781
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264810749781
java.vm.specification.version,sysinfo,,,"1.0",1264810749781
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1264810749781
java.vm.version,sysinfo,,,"14.2-b01",1264810749781
started,bundle,org.eclipse.team.cvs.ui,3.3.201.R35x_v20090826-0905,"org.eclipse.team.cvs.ui",1264810750640
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264810751984
activated,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264810752281
